Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
0a4a18970d0cc9,c8ddc598371148,b33ff471970063,0,0,0.0,0,0.0,0.0,90.0,1026.0,0.0,0.0,0.0,1312.0,squad-fpp,27.0,25.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.12,1.0,1512.0,0.0385
4e26c3981cb0b0,02d16b0e387c17,fd4371f14495af,0,0,36.73,0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,1738.0,duo-fpp,45.0,44.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,2.0,0.0,0.3182
069ad35a137864,984d9ae0863c10,227d59bf24bd6c,2,2,225.5,1,0.0,3.0,10.0,0.0,2.0,1.0,60.39,1952.0,duo-fpp,48.0,45.0,1501.0,0.0,1755.0,0.0,0.0,0.0,0.0,4280.0,4.0,0.0,1.0
3699f0e10ca608,dc539636cd507e,2e74fc24bc1bc8,0,1,66.94,0,0.0,0.0,46.0,1311.0,0.0,0.0,0.0,1374.0,duo-fpp,50.0,50.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.0,4.0,1557.0,0.8367
43b56707469295,e2da00dfbf1a3d,6d6c3fbb90338d,0,0,100.0,1,0.0,0.0,33.0,0.0,1.0,1.0,9.713,1345.0,duo,48.0,46.0,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,90.48,1.0,0.0,0.383
256ed08456d181,1c72c483c19006,af18a10271e55f,0,0,0.0,0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,1810.0,squad,28.0,27.0,1496.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.0,7.0,0.0,0.4074
61d94d4843dddd,2f9161d4c5e79b,1c9c3465cf5ca6,0,0,73.29,0,0.0,0.0,87.0,1350.0,0.0,0.0,0.0,1960.0,duo,48.0,48.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,107.9,1.0,1543.0,0.1064
a45a7cf5889261,ef74a6fa85e328,d34df5d7cffba6,1,5,497.8,1,0.0,1.0,4.0,0.0,4.0,2.0,144.6,1839.0,duo-fpp,47.0,46.0,1541.0,1.0,5202.0,0.0,0.0,0.0,0.0,2182.0,9.0,0.0,1.0
0c9de5d75e754b,466c62548dd8b4,9070e69a8c0b35,0,3,80.3,0,0.0,1.0,41.0,1334.0,0.0,0.0,0.0,1308.0,squad,29.0,29.0,-1.0,0.0,4384.0,0.0,0.0,0.0,0.0,1961.0,4.0,1499.0,0.9286
730c0263d7c767,c0089fb435ee7d,7d4637069e1044,0,0,83.2,0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,1512.0,squad,27.0,25.0,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,3.0,0.0,0.6538
df602f3d61e798,97b877f7e18e85,ae925c65e1ad04,0,0,138.0,0,0.0,0.0,37.0,0.0,1.0,1.0,1.579,1379.0,solo-fpp,92.0,91.0,1497.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639,1.0,0.0,0.0659
7f4c302395ec6d,cf136e7792aed3,f0835b027ac8fc,0,0,228.5,0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,1342.0,duo-fpp,49.0,48.0,1542.0,0.0,0.0,0.0,0.0,0.0,0.0,2387.0,7.0,0.0,0.6667
6e550d549eb80a,4ceb2fd2ff483b,7c668883a6e0f6,0,3,200.0,0,1.0,28.0,13.0,0.0,2.0,1.0,14.11,1872.0,solo-fpp,92.0,92.0,1603.0,0.0,330.3,0.0,0.0,0.0,0.0,4240.0,3.0,0.0,0.8791
21ec10fe56ea93,c4d324f689252e,2eaa3a480e8e77,0,0,0.0,0,0.0,5.0,79.0,0.0,0.0,0.0,0.0,1340.0,squad-fpp,28.0,28.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,45.24,2.0,0.0,0.1481
76f72c7873d6c9,a0c13d4d75cd9c,c0b474892bb204,0,3,253.1,1,0.0,1.0,22.0,1402.0,1.0,1.0,46.13,1379.0,squad,30.0,30.0,-1.0,1.0,988.4,0.0,37.04,0.0,0.0,1315.0,3.0,1475.0,1.0
